time,ax,ay,az,atotal
2021-09-03 18:56:09.7710,-2.14,1.08,-4.52,5.11
2021-09-03 18:56:09.7950,-3.63,0.89,-4.73,6.02
2021-09-03 18:56:09.7970,-4.83,0.32,-5.06,7.0
2021-09-03 18:56:09.8000,-5.12,0.31,-5.42,7.46
2021-09-03 18:56:09.8100,-5.39,1.3,-5.3,7.67
2021-09-03 18:56:09.8210,-5.64,3.17,-5.18,8.28
2021-09-03 18:56:09.8300,-5.11,4.02,-5.08,8.25
2021-09-03 18:56:09.8410,-4.37,3.79,-5.7,8.12
2021-09-03 18:56:09.8500,-3.97,3.78,-6.33,8.37
2021-09-03 18:56:09.8610,-4.08,3.69,-5.57,7.82
2021-09-03 18:56:09.8710,-4.01,3.61,-4.59,7.08
2021-09-03 18:56:09.8950,-2.55,0.9,-2.07,3.4
2021-09-03 18:56:09.8960,1.65,-4.7,2.91,5.76
2021-09-03 18:56:09.9000,7.3,-5.32,6.43,11.08
2021-09-03 18:56:09.9110,8.85,0.16,3.31,9.45
2021-09-03 18:56:09.9200,4.05,2.86,-2.12,5.39
2021-09-03 18:56:09.9300,-3.33,-2.61,-5.94,7.29
2021-09-03 18:56:09.9400,-3.72,-9.14,-7.81,12.58
2021-09-03 18:56:09.9500,-4.13,-6.47,-5.72,9.57
2021-09-03 18:56:09.9610,-5.04,1.64,-1.33,5.46
2021-09-03 18:56:09.9700,-1.65,4.53,-1.35,5.0
2021-09-03 18:56:09.9930,1.1,0.05,-3.6,3.76
2021-09-03 18:56:09.9950,1.28,-3.21,-3.79,5.12
2021-09-03 18:56:10.0000,0.09,-0.89,-2.85,2.98
2021-09-03 18:56:10.0100,-1.36,0.87,-2.46,2.94
2021-09-03 18:56:10.0200,-1.8,-0.05,-2.52,3.09
2021-09-03 18:56:10.0300,-1.86,-0.77,-2.26,3.02
2021-09-03 18:56:10.0400,-2.19,-0.45,-1.53,2.7
2021-09-03 18:56:10.0500,-1.96,0.02,-0.92,2.16
2021-09-03 18:56:10.0600,-0.82,0.23,-0.67,1.08
2021-09-03 18:56:10.0700,0.55,0.3,-0.41,0.74
2021-09-03 18:56:10.0940,1.36,0.26,-0.14,1.39
2021-09-03 18:56:10.0950,1.17,0.09,0.23,1.19
2021-09-03 18:56:10.0990,0.33,0.11,0.56,0.65
2021-09-03 18:56:10.1120,-0.58,0.27,0.77,1.0
2021-09-03 18:56:10.1190,-0.85,0.35,0.97,1.33
2021-09-03 18:56:10.1300,-0.26,0.53,0.95,1.11
