time,ax,ay,az,atotal
2021-09-03 18:45:44.5870,-0.04,-0.08,-0.01,0.09
2021-09-03 18:45:44.5970,0.12,-0.07,-0.13,0.19
2021-09-03 18:45:44.6140,0.05,-0.05,-0.23,0.24
2021-09-03 18:45:44.6170,0.0,0.01,-0.18,0.18
2021-09-03 18:45:44.6260,-0.06,-0.07,-0.16,0.18
2021-09-03 18:45:44.6360,0.11,-0.09,-0.13,0.19
2021-09-03 18:45:44.6470,0.26,-0.06,-0.07,0.27
2021-09-03 18:45:44.6560,0.19,-0.08,0.08,0.22
2021-09-03 18:45:44.6660,-0.03,-0.04,0.37,0.37
2021-09-03 18:45:44.6760,-0.04,0.01,0.5,0.5
2021-09-03 18:45:44.6870,0.04,-0.02,0.4,0.4
2021-09-03 18:45:44.6960,0.07,-0.02,0.29,0.29
2021-09-03 18:45:44.7150,0.17,0.06,0.17,0.24
2021-09-03 18:45:44.7180,-0.11,0.0,0.33,0.34
2021-09-03 18:45:44.7260,-0.36,-0.09,0.49,0.61
2021-09-03 18:45:44.7360,-0.22,-0.02,0.52,0.56
2021-09-03 18:45:44.7460,-0.12,0.05,0.37,0.39
2021-09-03 18:45:44.7560,0.08,0.16,0.15,0.23
2021-09-03 18:45:44.7660,0.2,0.21,-0.07,0.29
2021-09-03 18:45:44.7760,-0.03,0.04,-0.09,0.1
2021-09-03 18:45:44.7860,-0.34,-0.12,0.06,0.36
2021-09-03 18:45:44.7960,-0.36,-0.01,0.2,0.41
2021-09-03 18:45:44.8140,-0.16,0.12,0.26,0.32
2021-09-03 18:45:44.8180,0.08,0.11,0.24,0.27
2021-09-03 18:45:44.8250,-0.01,-0.01,0.13,0.13
2021-09-03 18:45:44.8360,-0.21,-0.03,0.03,0.21
2021-09-03 18:45:44.8460,-0.22,0.08,0.05,0.23
2021-09-03 18:45:44.8560,-0.19,0.02,-0.02,0.19
2021-09-03 18:45:44.8660,0.02,0.11,-0.12,0.16
2021-09-03 18:45:44.8760,0.23,0.16,-0.08,0.29
2021-09-03 18:45:44.8860,0.01,-0.06,0.06,0.08
2021-09-03 18:45:44.8960,-0.14,-0.08,0.27,0.31
2021-09-03 18:45:44.9130,-0.14,0.04,0.28,0.31
2021-09-03 18:45:44.9170,-0.22,-0.04,0.25,0.33
2021-09-03 18:45:44.9260,-0.25,-0.08,0.24,0.35
2021-09-03 18:45:44.9350,-0.4,-0.02,0.26,0.47
2021-09-03 18:45:44.9460,-0.41,0.0,0.13,0.43
2021-09-03 18:45:44.9550,-0.26,0.08,0.0,0.27
2021-09-03 18:45:44.9660,-0.05,0.13,-0.13,0.19
2021-09-03 18:45:44.9750,0.07,0.16,-0.17,0.24
2021-09-03 18:45:44.9850,-0.05,-0.02,-0.17,0.17
